date,q_m3s,q_mm,gap_length_days,q_m3s_clean,q_status,q_mm_clean
2000-01-01,2.48,0.5175027170631566,0,2.48,observed,0.5175027170631566
2000-01-02,2.44,0.5091558990460089,0,2.44,observed,0.5091558990460089
2000-01-03,2.41,0.5028957855331482,0,2.41,observed,0.5028957855331482
2000-01-04,2.37,0.4945489675160005,0,2.37,observed,0.4945489675160005
2000-01-05,2.33,0.4862021494988528,0,2.33,observed,0.4862021494988528
2000-01-06,2.33,0.4862021494988528,0,2.33,observed,0.4862021494988528
2000-01-07,2.33,0.4862021494988528,0,2.33,observed,0.4862021494988528
2000-01-08,2.33,0.4862021494988528,0,2.33,observed,0.4862021494988528
2000-01-09,2.33,0.4862021494988528,0,2.33,observed,0.4862021494988528
2000-01-10,2.32,0.4841154449945659,0,2.32,observed,0.4841154449945659
2000-01-11,2.31,0.482028740490279,0,2.31,observed,0.482028740490279
2000-01-12,2.3,0.479942035985992,0,2.3,observed,0.479942035985992
2000-01-13,2.29,0.47785533148170517,0,2.29,observed,0.47785533148170517
2000-01-14,2.28,0.4757686269774182,0,2.28,observed,0.4757686269774182
2000-01-15,2.27,0.4736819224731313,0,2.27,observed,0.4736819224731313
2000-01-16,2.26,0.4715952179688443,0,2.26,observed,0.4715952179688443
2000-01-17,2.25,0.4695085134645574,0,2.25,observed,0.4695085134645574
2000-01-18,2.24,0.4674218089602706,0,2.24,observed,0.4674218089602706
2000-01-19,2.23,0.4653351044559836,0,2.23,observed,0.4653351044559836
2000-01-20,2.23,0.4653351044559836,0,2.23,observed,0.4653351044559836
2000-01-21,2.23,0.4653351044559836,0,2.23,observed,0.4653351044559836
2000-01-22,2.23,0.4653351044559836,0,2.23,observed,0.4653351044559836
2000-01-23,2.23,0.4653351044559836,0,2.23,observed,0.4653351044559836
2000-01-24,2.23,0.4653351044559836,0,2.23,observed,0.4653351044559836
2000-01-25,2.23,0.4653351044559836,0,2.23,observed,0.4653351044559836
2000-01-26,2.23,0.4653351044559836,0,2.23,observed,0.4653351044559836
2000-01-27,2.23,0.4653351044559836,0,2.23,observed,0.4653351044559836
2000-01-28,2.23,0.4653351044559836,0,2.23,observed,0.4653351044559836
2000-01-29,2.23,0.4653351044559836,0,2.23,observed,0.4653351044559836
2000-01-30,2.23,0.4653351044559836,0,2.23,observed,0.4653351044559836
2000-01-31,2.23,0.4653351044559836,0,2.23,observed,0.4653351044559836
2000-02-01,2.23,0.4653351044559836,0,2.23,observed,0.4653351044559836
2000-02-02,2.23,0.4653351044559836,0,2.23,observed,0.4653351044559836
2000-02-03,2.23,0.4653351044559836,0,2.23,observed,0.4653351044559836
2000-02-04,2.23,0.4653351044559836,0,2.23,observed,0.4653351044559836
2000-02-05,2.23,0.4653351044559836,0,2.23,observed,0.4653351044559836
2000-02-06,2.23,0.4653351044559836,0,2.23,observed,0.4653351044559836
2000-02-07,2.23,0.4653351044559836,0,2.23,observed,0.4653351044559836
2000-02-08,2.23,0.4653351044559836,0,2.23,observed,0.4653351044559836
2000-02-09,2.23,0.4653351044559836,0,2.23,observed,0.4653351044559836
2000-02-10,2.23,0.4653351044559836,0,2.23,observed,0.4653351044559836
2000-02-11,2.23,0.4653351044559836,0,2.23,observed,0.4653351044559836
2000-02-12,2.23,0.4653351044559836,0,2.23,observed,0.4653351044559836
2000-02-13,2.23,0.4653351044559836,0,2.23,observed,0.4653351044559836
2000-02-14,2.23,0.4653351044559836,0,2.23,observed,0.4653351044559836
2000-02-15,2.23,0.4653351044559836,0,2.23,observed,0.4653351044559836
2000-02-16,2.23,0.4653351044559836,0,2.23,observed,0.4653351044559836
2000-02-17,2.23,0.4653351044559836,0,2.23,observed,0.4653351044559836
2000-02-18,2.33,0.4862021494988528,0,2.33,observed,0.4862021494988528
2000-02-19,2.32,0.4841154449945659,0,2.32,observed,0.4841154449945659
2000-02-20,2.31,0.482028740490279,0,2.31,observed,0.482028740490279
2000-02-21,2.29,0.47785533148170517,0,2.29,observed,0.47785533148170517
2000-02-22,2.28,0.4757686269774182,0,2.28,observed,0.4757686269774182
2000-02-23,2.27,0.4736819224731313,0,2.27,observed,0.4736819224731313
2000-02-24,2.26,0.4715952179688443,0,2.26,observed,0.4715952179688443
2000-02-25,2.24,0.4674218089602706,0,2.24,observed,0.4674218089602706
