date,precipitation_mm,temperature_degC,pet_mm
1981-01-01,0.3963,-8.3541,0.0
1981-01-02,0.2877,-8.6758,0.0
1981-01-03,0.2567,-8.9181,0.0
1981-01-04,0.8757,-10.1155,0.0
1981-01-05,1.2102,-11.422,0.0
1981-01-06,0.0089,-11.6628,0.0
1981-01-07,0.0014,-12.0278,0.0
1981-01-08,0.0306,-13.4343,0.0
1981-01-09,0.4733,-12.5357,0.0
1981-01-10,0.0157,-11.7664,0.0
1981-01-11,0.0,-8.8561,0.0
1981-01-12,0.2894,-6.499,0.0
1981-01-13,1.1609,-4.3123,0.03684619819474946
1981-01-14,2.4937,-7.951,0.0
1981-01-15,0.912,-10.7367,0.0
1981-01-16,0.8529,-9.8823,0.0
1981-01-17,1.1944,-8.7464,0.0
1981-01-18,4.7501,-6.6554,0.0
1981-01-19,2.9407,-6.2191,0.0
1981-01-20,6.6879,-9.7767,0.0
1981-01-21,0.1112,-15.6108,0.0
1981-01-22,0.0,-15.5818,0.0
1981-01-23,0.0016,-17.8145,0.0
1981-01-24,0.0061,-16.4586,0.0
1981-01-25,0.0032,-15.2841,0.0
1981-01-26,0.1424,-12.9249,0.0
1981-01-27,0.8259,-14.2931,0.0
1981-01-28,0.734,-14.359,0.0
1981-01-29,0.4539,-15.029,0.0
1981-01-30,0.2997,-14.3755,0.0
1981-01-31,0.0906,-14.9213,0.0
1981-02-01,0.0589,-15.0529,0.0
1981-02-02,1.051,-11.101,0.0
1981-02-03,0.3034,-12.038,0.0
1981-02-04,1.2564,-13.5493,0.0
1981-02-05,0.0347,-13.3614,0.0
1981-02-06,0.001,-8.3126,0.0
1981-02-07,0.0013,-7.6452,0.0
1981-02-08,0.003,-9.6678,0.0
1981-02-09,0.0031,-9.6038,0.0
1981-02-10,3.3943,-7.2231,0.0
1981-02-11,2.1962,-8.2079,0.0
1981-02-12,6.7396,-10.4998,0.0
1981-02-13,0.7828,-12.9378,0.0
1981-02-14,1.6903,-15.6353,0.0
1981-02-15,0.9311,-15.5229,0.0
1981-02-16,3.723,-13.5083,0.0
1981-02-17,7.0934,-14.1054,0.0
1981-02-18,0.0204,-13.8353,0.0
1981-02-19,0.0633,-8.6139,0.0
1981-02-20,5.0429,-10.5076,0.0
1981-02-21,0.3174,-15.1993,0.0
1981-02-22,0.0034,-11.8983,0.0
1981-02-23,1.1657,-8.7293,0.0
1981-02-24,3.7538,-8.7733,0.0
