date,precipitation_mm,temperature_degC,q_m3s,q_mm,q_gap_length_days,q_mm_clean,q_status
2015-05-25,2.0104,0.2445,4.58632824087307,1.4603772389306158,0,1.4603772389306158,observed
2015-05-26,0.858,1.4076,4.45170674481473,1.4175111032357657,0,1.4175111032357657,observed
2015-05-27,0.5951,2.9302,,,1,1.3551274787221765,interpolated_1to3d_gap
2015-05-28,1.4289,4.2443,4.05987404399257,1.2927438542085874,0,1.2927438542085874,observed
2015-05-29,0.8399,5.7689,4.18847964637448,1.3336944108747517,0,1.3336944108747517,observed
2015-05-30,0.7618,5.9089,5.00222451640092,1.5928068040725274,0,1.5928068040725274,observed
2015-05-31,2.4742,5.3205,5.14486720402782,1.6382270451389538,0,1.6382270451389538,observed
2015-06-01,5.4361,4.1317,,,14,,missing_long_gap
2015-06-02,0.8385,5.6265,,,14,,missing_long_gap
2015-06-03,2.522,7.3491,,,14,,missing_long_gap
2015-06-04,3.8042,8.1162,,,14,,missing_long_gap
2015-06-05,0.6225,9.3237,,,14,,missing_long_gap
2015-06-06,1.5735,9.104,,,14,,missing_long_gap
2015-06-07,1.9148,9.2356,,,14,,missing_long_gap
2015-06-08,19.9476,9.4126,,,14,,missing_long_gap
2015-06-09,13.2466,-0.3024,,,14,,missing_long_gap
2015-06-10,0.0009,4.1405,,,14,,missing_long_gap
2015-06-11,0.0009,8.4142,,,14,,missing_long_gap
2015-06-12,0.3615,9.2124,,,14,,missing_long_gap
2015-06-13,2.4879,8.9006,,,14,,missing_long_gap
2015-06-14,13.8591,5.8468,,,14,,missing_long_gap
2015-06-15,5.3796,3.5066,8.41883351391535,2.6807223984752944,0,2.6807223984752944,observed
2015-06-16,0.7173,4.8025,8.05534152086807,2.564979388969564,0,2.564979388969564,observed
2015-06-17,0.4753,7.0299,8.05534152086807,2.564979388969564,0,2.564979388969564,observed
2015-06-18,0.0158,10.2144,8.60358745727721,2.7395516927425043,0,2.7395516927425043,observed
2015-06-19,0.9307,10.66,9.16988107471561,2.919870733601492,0,2.919870733601492,observed
2015-06-20,3.0391,9.3113,9.55743664246859,3.0432760592219585,0,3.0432760592219585,observed
2015-06-21,1.5955,8.8489,8.60358745727721,2.7395516927425043,0,2.7395516927425043,observed
2015-06-22,1.0886,9.029,8.60358745727721,2.7395516927425043,0,2.7395516927425043,observed
2015-06-23,6.7597,8.2004,8.60358745727721,2.7395516927425043,0,2.7395516927425043,observed
2015-06-24,10.0576,8.0809,8.41883351391535,2.6807223984752944,0,2.6807223984752944,observed
2015-06-25,8.2448,7.7091,8.60358745727721,2.7395516927425043,0,2.7395516927425043,observed
2015-06-26,7.3506,7.1497,8.60358745727721,2.7395516927425043,0,2.7395516927425043,observed
